"license-plate-number";"customer-return-date";"asin";"sku";"Brand";"Product Name";"amazon-order-id";"quantity";"Collection_Order";"delivery-date-biarritz";"device-serial-number";"item-status";"RMA KP";"ID ";"RMA batch";"LaRoca"
"LPNHE584375650";10/08/2021;"B075WVZN5Z";"P3D2050";"PAX";"PAX3 BASIC BLACK";"405-0143188-4501168";1;;;"G6AEQ874";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNIC010636382";14/07/2021;"B08DHVSQQR";"X-RSD0105CE";"ROBOROCK";"ROBOROCK S6 PURE BLACK";"402-7472249-3292359";1;;;"R0905K04402798";"Used";;;;"x"
"LPNHK067069400";12/05/2021;"B08CKT6KM2";"X-SKV4136GL";"XIAOMI";"XIAOMI MOP ESSENTIAL";"028-5417575-5435538";1;;;"27103/00239535";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHK078748738";15/09/2021;"B08HQ5NQKL";"P3D2456";"PAX";"PAX3 COMPLETE BURGUNDY";"404-0367891-8026766";1;;;"Y01TXT78";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHK078756737";16/09/2021;"B08HQTJ5CT";"P3D2453";"PAX";"PAX3 COMPLETE ONYX";"405-7630724-1357958";1;;;"DQRKY18G";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE569781446";23/07/2021;"B075XPSM8C";"P3D2043";"PAX";"PAX3 COMPLETE TEAL";"402-5118554-7668326";1;;;"DWNFWCUD";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE569626633";08/07/2021;"B08HQZT7GW";"P3D2455";"PAX";"PAX3 COMPLETE SAGE";"407-8838678-4502701";1;;;"YJGM047F";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE569592530";15/07/2021;"B08HQZT7GW";"P3D2455";"PAX";"PAX3 COMPLETE SAGE";"171-4056337-7505161";1;;;"FKMRQH00";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE570341972";18/07/2021;"B08HQWV41Z";"P3D2449";"PAX";"PAX3 BASIC ONYX";"404-9723948-4624358";1;;;"HDGDG721";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE566814767";05/07/2021;"B08HQWV41Z";"P3D2449";"PAX";"PAX3 BASIC ONYX";"402-0959155-5579503";1;;;;"New";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE570123261";21/07/2021;"B08HQDCSNQ";"P3D2452";"PAX";"PAX3 BASIC BURGUNDY";"171-5739772-6842729";1;;;"VVNPY01G";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE569740047";12/07/2021;"B075XPB1RM";"P3D2045";"PAX";"PAX3 COMPLETE ROSE GOLD";"404-2583313-2318725";1;;;"KYJDNPF7";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE569564945";15/07/2021;"B075XPND1C";"P3D2076";"PAX";"PAX2 BRUSHED PLATINIUM";"408-6368405-1775539";1;;;"QH696XRP";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
