"External Document No_";"Location Code";"Document No_";"Package Tracking No_";"Customer No_";"Name";"Item No_"
"404-4272051-3087508";"AMAZON";"DSR21000177";"LPNHE355607537";"000222";"AMAZON PAX FR";"PX-P2A1016"
"204-7920646-2442759";"AMAZON";"PDVF21/001107";"LPNHE355615592";"000223";"Amazon Pax Uk";
"406-0288649-1235527";"AMAZON";"DSR21000201";"LPNHE365246828";"000222";"AMAZON PAX FR";"PX-P3D2042"
"406-5079244-3888369";"AMAZON";"DSR21000199";"LPNHE368113041";"000222";"AMAZON PAX FR";"PX-P2A1737"
"404-8332909-4365953";"AMAZON";"DSRF21000198";"LPNHE369973782";"000163";"AMAZON PAX IT";"X-RSD0177CE"
"202-0361949-4367566";"AMAZON";"DSR21000248";"LPNHE392046425";"000223";"Amazon Pax Uk";"PX-P3D2451"
"402-6615070-7695552";"AMAZON";"DSR21001183";"LPNHE393705895";"000230";"AMAZON PAX ES";"X-RSD0105CE"
"402-3738464-8049932";"AMAZON";"DSR21000325";"LPNHE394155315";"000230";"AMAZON PAX ES";"SNS-FIVE1EU1"
"406-0680468-9500309";"AMAZON";"DSR21000297";"LPNHE394212908";"000230";"AMAZON PAX ES";"SNS-BEAM1EU1"
"406-0079399-9225940";"AMAZON";"DSR21000267";"LPNHE394213828";"000230";"AMAZON PAX ES";"SNS-BEAM1EU1BLK"
"407-8635477-2979548";"AMAZON";"DSR21000072";"LPNHE401625960";"000222";"AMAZON PAX FR";"PX-P3D2044"
"403-7436490-7604322";"AMAZON";"DSR21000747";"LPNHE411425582";"000163";"AMAZON PAX IT";"X-RSD0106CE"
"407-4386897-8789935";"AMAZON";"PDVF21/000911";"LPNHE411481184";"000222";"AMAZON PAX FR";
"407-4386897-8789935";"AMAZON";"PDVF21/000910";"LPNHE411481185";"000222";"AMAZON PAX FR";
"407-8609945-6246703";"AMAZON";"DSR21000347";"LPNHE413119792";"000222";"AMAZON PAX FR";"PX-P3D2453"
"408-9261562-2089120";"AMAZON";"DSR21000061";"LPNHE416579772";"000222";"AMAZON PAX FR";"PX-P3D2050"
"405-4217750-9810759";"AMAZON";"DSR21000110";"LPNHE419553422";"000222";"AMAZON PAX FR";"PX-P3D2050"
