"Node root";"Node ID";"Node Path";"Node Id in UK";"Node Id in DE";"Node Id in FR";"Node Id in ES"
"it-apparel";2892897031;"/Categorie/Bambini e ragazzi/Pantaloncini";1730801031;1981170031;464965031;3074102031
"it-apparel";2892898031;"/Categorie/Bambini e ragazzi/Pantaloni";1730832031;1981201031;464964031;3074103031
"it-apparel";2892900031;"/Categorie/Bambini e ragazzi/Salopette";1730799031;1981168031;464963031;3074100031
"it-apparel";2892904031;"/Categorie/Donna/Vestiti";1731351031;1981721031;464668031;3074074031
"it-apparel";2892906031;"/Categorie/Donna/Bluse e camicie";1731350031;1981720031;464645031;3074053031
"it-apparel";2892911031;"/Categorie/Donna/Gonne";1731468031;1981838031;464674031;3074056031
"it-apparel";2892912031;"/Categorie/Donna/Jeans";1731353031;1981723031;464670031;3074073031
"it-apparel";2892913031;"/Categorie/Donna/Leggings";1731362031;1981732031;464672031;3074057031
"it-apparel";2892917031;"/Categorie/Donna/Monopezzi e tutine";1731354031;1981724031;464669031;3074059031
"it-apparel";2892919031;"/Categorie/Donna/Pantaloncini";1731467031;1981837031;464673031;3074062031
"it-apparel";2892920031;"/Categorie/Donna/Pantaloni";1731504031;1981874031;464671031;3074063031
"it-apparel";2892922031;"/Categorie/Donna/Salopette";1731466031;1981836031;527259031;3074060031
"it-apparel";2892945031;"/Categorie/Uomo/Jeans";1730981031;1981350031;464841031;3074051031
"it-apparel";2892949031;"/Categorie/Uomo/Pantaloncini";1731002031;1981371031;464843031;3074040031
"it-apparel";2892950031;"/Categorie/Uomo/Pantaloni";1731030031;1981399031;464842031;3074041031
"it-apparel";2892952031;"/Categorie/Uomo/Salopette";1730997031;1981366031;527266031;3074038031
"it-apparel";2892967031;"/Categorie/Bambine e ragazze/Accessori/Bretelle";1730845031;1981214031;2308743031;3074345031
"it-apparel";2892968031;"/Categorie/Bambine e ragazze/Accessori/Cappelli e cappellini";1730854031;1981223031;2308752031;3074340031
"it-apparel";2892969031;"/Categorie/Bambine e ragazze/Accessori/Coordinati invernali";1730846031;1981215031;2308744031;3074337031
"it-apparel";2892970031;"/Categorie/Bambine e ragazze/Accessori/Fasce lombari";1730856031;1981225031;2308754031;3074335031
"it-apparel";2892971031;"/Categorie/Bambine e ragazze/Accessori/Fasce";1730855031;1981224031;2308753031;3074338031
"it-apparel";2892972031;"/Categorie/Bambine e ragazze/Accessori/Fazzoletti da collo";1730857031;1981226031;2308755031;3074344031
"it-apparel";2892973031;"/Categorie/Bambine e ragazze/Accessori/Guanti e manopole";1730853031;1981222031;2308751031;3074341031
"it-apparel";2892975031;"/Categorie/Bambine e ragazze/Accessori/Paraorecchie";1730847031;1981216031;2308745031;3074342031
"it-apparel";2892976031;"/Categorie/Bambine e ragazze/Accessori/Passamontagna";1730844031;1981213031;2308742031;3074343031
"it-apparel";2892977031;"/Categorie/Bambine e ragazze/Accessori/Scaldabraccia e manicotti";1730843031;1981212031;2308741031;3074336031
"it-apparel";2892978031;"/Categorie/Bambine e ragazze/Accessori/Sciarpe";1730858031;1981227031;2308756031;3074334031
"it-apparel";2892979031;"/Categorie/Bambine e ragazze/Calze, collant e leggings/Calze";1730904031;1981273031;464923031;3074347031
"it-apparel";2892980031;"/Categorie/Bambine e ragazze/Calze, collant e leggings/Calzettoni";1730905031;1981274031;2308758031;3074346031
"it-apparel";2892981031;"/Categorie/Bambine e ragazze/Calze, collant e leggings/Calzini";1730906031;1981275031;2308759031;3074348031
"it-apparel";2892982031;"/Categorie/Bambine e ragazze/Calze, collant e leggings/Collant e calzamaglie";1730908031;1981277031;464924031;3074350031
"it-apparel";2892983031;"/Categorie/Bambine e ragazze/Calze, collant e leggings/Leggings";1730907031;1981276031;464925031;3074349031
"it-apparel";2892984031;"/Categorie/Bambine e ragazze/Giacche e cappotti/Cappotti";1730884031;1981253031;464907031;3074368031
"it-apparel";2892985031;"/Categorie/Bambine e ragazze/Giacche e cappotti/Giacche";1730886031;1981255031;464905031;3074370031
"it-apparel";2892986031;"/Categorie/Bambine e ragazze/Giacche e cappotti/Gilet";1730885031;1981254031;464909031;3074369031
"it-apparel";2892988031;"/Categorie/Bambine e ragazze/Intimo/Canottiere";1730928031;1981297031;464927031;3074389031
"it-apparel";2892989031;"/Categorie/Bambine e ragazze/Intimo/Coordinati";2154596031;2153288031;2308895031;3074390031
"it-apparel";2892990031;"/Categorie/Bambine e ragazze/Intimo/Mutande";1730922031;1981291031;464929031;3074388031
"it-apparel";2892991031;"/Categorie/Bambine e ragazze/Intimo/Slip";1730923031;1981292031;464930031;3074391031
"it-apparel";2892992031;"/Categorie/Bambine e ragazze/Maglieria/Cardigan";1730881031;1981250031;2308761031;3074366031
"it-apparel";2892993031;"/Categorie/Bambine e ragazze/Maglieria/Maglioni";1730882031;1981251031;2308762031;3074367031
"it-apparel";2892998031;"/Categorie/Bambine e ragazze/Neve e pioggia/Giacche impermeabili";1730900031;1981269031;464911031;3074384031
"it-apparel";2892999031;"/Categorie/Bambine e ragazze/Neve e pioggia/Pantaloni e salopette da neve";1730901031;1981270031;464914031;3074386031
"it-apparel";2893000031;"/Categorie/Bambine e ragazze/Neve e pioggia/Pantaloni impermeabili";1730899031;1981268031;464912031;3074385031
"it-apparel";2893001031;"/Categorie/Bambine e ragazze/Neve e pioggia/Tute da neve";1730902031;1981271031;464913031;3074387031
"it-apparel";2893002031;"/Categorie/Bambine e ragazze/Pigiami e vestaglie/Accappatoi";1735456031;1983825031;2166257031;3074359031
"it-apparel";2893003031;"/Categorie/Bambine e ragazze/Pigiami e vestaglie/Camicie da notte";1730892031;1981261031;464920031;3074362031
"it-apparel";2893004031;"/Categorie/Bambine e ragazze/Pigiami e vestaglie/Maglie pigiama";1730895031;1981264031;464916031;3074361031
"it-apparel";2893005031;"/Categorie/Bambine e ragazze/Pigiami e vestaglie/Pantaloni pigiama";1730893031;1981262031;464917031;3074364031
"it-apparel";2893006031;"/Categorie/Bambine e ragazze/Pigiami e vestaglie/Pigiami due pezzi";1730894031;1981263031;464918031;3074365031
"it-apparel";2893007031;"/Categorie/Bambine e ragazze/Pigiami e vestaglie/Pigiami interi";1730897031;1981266031;464919031;3074363031
"it-apparel";2893008031;"/Categorie/Bambine e ragazze/Pigiami e vestaglie/Vestaglie e kimono";1730896031;1981265031;464921031;3074360031
"it-apparel";2893009031;"/Categorie/Bambine e ragazze/T-shirt, polo e top/Canotte e top";1730919031;1981288031;464881031;3074352031
"it-apparel";2893010031;"/Categorie/Bambine e ragazze/T-shirt, polo e top/Maglie a manica lunga";1730916031;1981285031;2308760031;3074351031
"it-apparel";2893011031;"/Categorie/Bambine e ragazze/T-shirt, polo e top/Polo";1730917031;1981286031;464882031;3074354031
"it-apparel";2893012031;"/Categorie/Bambine e ragazze/T-shirt, polo e top/T-shirt";1730918031;1981287031;464880031;3074353031
"it-apparel";2893025031;"/Categorie/Bambini e ragazzi/Abiti e giacche/Abiti";1730821031;1981190031;464938031;3074448031
