"General category";"Product Type"
"Home & Garden";"FurnitureCart"
"Home & Garden";"FurnitureCover"
"Home & Garden";"FurnitureEdgeBumper"
"Home & Garden";"FurnitureFloorProtector"
"Home & Garden";"FurnitureLiner"
"Home & Garden";"FurnitureSlider"
"Home & Garden";"GardenEdging"
"Home & Garden";"Garland"
"Home & Garden";"GarlicPress"
"Home & Garden";"GarmentSteamer"
"Home & Garden";"GravityBeverageDispenser"
"Home & Garden";"GriddlePlate"
"Home & Garden";"GrillSmokerCover"
"Home & Garden";"Hammock"
"Home & Garden";"HangingOrnament"
"Home & Garden";"Headboard"
"Home & Garden";"HeatingStove"
"Home & Garden";"HipFlask"
"Home & Garden";"Home"
"Home & Garden";"HomeMirror"
"Home & Garden";"HotTub"
"Home & Garden";"Humidifier"
"Home & Garden";"HvacControlThermostat"
"Home & Garden";"IceCreamMaker"
"Home & Garden";"IceCubeTray"
"Home & Garden";"Incense"
"Home & Garden";"IncenseHolder"
"Home & Garden";"IndoorGrowEnclosure"
"Home & Garden";"IroningBoard"
"Home & Garden";"IrrigationSprinkler"
"Home & Garden";"ItemStand"
"Home & Garden";"Juicer"
"Home & Garden";"Kitchen"
"Home & Garden";"KitchenKnife"
"Home & Garden";"KitchenTools"
"Home & Garden";"Knife"
"Home & Garden";"KnifeBlock"
"Home & Garden";"KnifeBlockSet"
"Home & Garden";"KnifeSharpener"
"Home & Garden";"Ladder"
"Home & Garden";"LapDesk"
"Home & Garden";"LawnMower"
"Home & Garden";"LeafBlower"
"Home & Garden";"LintRemover"
"Home & Garden";"Magnifier"
"Home & Garden";"Mailbox"
"Home & Garden";"MakeupVanity"
"Home & Garden";"MannequinClothingForm"
"Home & Garden";"ManualFoodMillGrinder"
"Home & Garden";"MaterialHandlingTruck"
"Home & Garden";"Mattress"
"Home & Garden";"MattressCover"
"Home & Garden";"MealHolder"
"Home & Garden";"MeasuringCup"
"Home & Garden";"MechanicalLighter"
"Home & Garden";"MetalDetector"
"Home & Garden";"MilkFrother"
"Home & Garden";"MoneyBank"
"Home & Garden";"Mop"
"Home & Garden";"MopBucketSet"
"Home & Garden";"NapkinHolder"
"Home & Garden";"NapkinRing"
"Home & Garden";"NettingCover"
"Home & Garden";"Ottoman"
"Home & Garden";"Outbuilding"
"Home & Garden";"OutdoorLiving"
"Home & Garden";"Paint"
"Home & Garden";"PaintBrush"
"Home & Garden";"PaperTowelHolder"
"Home & Garden";"PastaMaker"
"Home & Garden";"PastryBastingBrush"
"Home & Garden";"PestControlDevice"
"Home & Garden";"PetDoor"
"Home & Garden";"PicnicHolder"
"Home & Garden";"Pillow"
"Home & Garden";"Pillowcase"
"Home & Garden";"PillowProtector"
"Home & Garden";"PipingTip"
"Home & Garden";"Pitcher"
"Home & Garden";"Placemat"
"Home & Garden";"Planter"
"Home & Garden";"PlantSeed"
"Home & Garden";"PlaySlide"
"Home & Garden";"PlugStopper"
"Home & Garden";"PoolCover"
"Home & Garden";"PoolSpaWaterTreatment"
"Home & Garden";"PoolVacuum"
"Home & Garden";"PopcornPopper"
"Home & Garden";"PortableStove"
