"Node root";"Node ID";"Node Path";"Node Id in UK";"Node Id in DE";"Node Id in IT";"Node Id in ES"
"fr-apparel";464874031;"/Catégories/Homme/Sous-vêtements/Sous-vêtements thermiques/Ensembles thermiques";1731037031;1981406031;2893634031;3074610031
"fr-apparel";464875031;"/Catégories/Homme/Vêtements de nuit/Grenouillères";1730989031;1981358031;2893327031;3074200031
"fr-apparel";464876031;"/Catégories/Homme/Vêtements de nuit/Robes de chambre et Kimonos";1730988031;1981357031;2893330031;3074198031
"fr-apparel";464877031;"/Catégories/Fille/Robes";1730877031;1981246031;2892864031;3074094031
"fr-apparel";464880031;"/Catégories/Fille/T-shirts et tops/T-shirts";1730918031;1981287031;2893012031;3074353031
"fr-apparel";464881031;"/Catégories/Fille/T-shirts et tops/Débardeurs";1730919031;1981288031;2893009031;3074352031
"fr-apparel";464882031;"/Catégories/Fille/T-shirts et tops/Polos";1730917031;1981286031;2893011031;3074354031
"fr-apparel";464883031;"/Catégories/Fille/Chemisiers";1730876031;1981245031;2892866031;3074076031
"fr-apparel";464886031;"/Catégories/Fille/Sweat-shirts à capuche";1730878031;1981247031;3841264031;2949352031
"fr-apparel";464887031;"/Catégories/Fille/Sweat-shirts";1730909031;1981278031;3841263031;2949353031
"fr-apparel";464888031;"/Catégories/Fille/Vêtements de sport/Blousons et vestes de sport";1730875031;1981244031;3841265031;2949351031
"fr-apparel";464889031;"/Catégories/Fille/Vêtements de sport/Survêtements";1730872031;1981241031;3841275031;2949344031
"fr-apparel";464890031;"/Catégories/Fille/Vêtements de sport/T-shirts et tops de sport";1730868031;1981237031;3841261031;2949340031
"fr-apparel";464891031;"/Catégories/Fille/Vêtements de sport/Pulls et polaires de sport";1730866031;1981235031;3841272031;2949338031
"fr-apparel";464892031;"/Catégories/Fille/Vêtements de sport/Pantalons de sport";1730873031;1981242031;3841274031;2949345031
"fr-apparel";464893031;"/Catégories/Fille/Vêtements de sport/Leggings de sport";1730871031;1981240031;3841259031;2949343031
"fr-apparel";464894031;"/Catégories/Fille/Vêtements de sport/Shorts de sport";1730869031;1981238031;3841273031;2949341031
"fr-apparel";464895031;"/Catégories/Fille/Vêtements de sport/Jupes de sport";1730870031;1981239031;3841267031;2949342031
