"Node root";"Node ID";"Node Path";"Node Id in UK";"Node Id in FR";"Node Id in IT";"Node Id in ES"
"de-apparel";1981117031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Shirts & Blusen/T-Shirts";1730748031;464993031;1806534031;1909434031
"de-apparel";1981118031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Shirts & Blusen/Tops";1730749031;2308669031;1806533031;1909433031
"de-apparel";1981119031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Hosen";1730750031;465005031;1806535031;1909435031
"de-apparel";1981121031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Unterwäsche/Höschen";1730752031;465029031;1806537031;1909437031
"de-apparel";1981122031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Unterwäsche/Sets";1730753031;465030031;1806538031;1909438031
"de-apparel";1981123031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Unterwäsche/Trainerhosen";1730754031;465028031;1806539031;1909439031
"de-apparel";1981124031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Unterwäsche/Unterhemden";1730755031;465027031;1806540031;1909440031
"de-apparel";1981127031;"/Kategorien/Jungen/Accessoires/Armwärmer";1730758031;2308771031;2893040031;3074399031
"de-apparel";1981128031;"/Kategorien/Jungen/Accessoires/Sturmhauben";1730759031;2308772031;2893039031;3074401031
"de-apparel";1981129031;"/Kategorien/Jungen/Accessoires/Hosenträger";1730760031;2308773031;2893030031;3074404031
"de-apparel";1981130031;"/Kategorien/Jungen/Accessoires/Mütze, Schal & Handschuh-Sets";1730761031;2308774031;2893032031;3074393031
"de-apparel";1981131031;"/Kategorien/Jungen/Accessoires/Ohrenschützer";1730762031;2308775031;2893038031;3074400031
"de-apparel";1981133031;"/Kategorien/Jungen/Accessoires/Brillen & Zubehör/Brillenetuis";1730764031;2308777031;2893347031;3074716031
"de-apparel";1981134031;"/Kategorien/Jungen/Accessoires/Brillen & Zubehör/Brillenbänder & -ketten";1730765031;2308778031;2893348031;3074715031
"de-apparel";1981135031;"/Kategorien/Jungen/Accessoires/Brillen & Zubehör/Brillenfassungen";1730766031;2308779031;2893349031;3074718031
"de-apparel";1981136031;"/Kategorien/Jungen/Accessoires/Brillen & Zubehör/Sonnenbrillen";1730767031;2308780031;2893350031;3074717031
"de-apparel";1981137031;"/Kategorien/Jungen/Accessoires/Handschuhe & Fäustlinge";1730768031;2308781031;2893036031;3074398031
"de-apparel";1981138031;"/Kategorien/Jungen/Accessoires/Hüte & Mützen";1730769031;2308782031;2893031031;3074397031
"de-apparel";1981139031;"/Kategorien/Jungen/Accessoires/Stirnbänder";1730770031;2308783031;2893034031;3074395031
"de-apparel";1981140031;"/Kategorien/Jungen/Accessoires/Halstücher";1730771031;2308784031;2893035031;3074402031
"de-apparel";1981141031;"/Kategorien/Jungen/Accessoires/Schals";1730772031;2308785031;2893041031;3074403031
"de-apparel";1981143031;"/Kategorien/Jungen/Accessoires/Krawatten & Fliegen/Fliegen";1730774031;2308787031;2893346031;3074714031
"de-apparel";1981144031;"/Kategorien/Jungen/Accessoires/Krawatten & Fliegen/Krawatten";1730775031;2308788031;2893345031;3074713031
"de-apparel";1981145031;"/Kategorien/Jungen/Accessoires/Krawatten & Fliegen/Sets";1730776031;2308789031;2893344031;3074712031
"de-apparel";1981149031;"/Kategorien/Jungen/Streetwear/Westen";1730780031;464961031;3841286031;2949315031
"de-apparel";1981150031;"/Kategorien/Jungen/Streetwear/Pullover";1730781031;464954031;3841290031;2949316031
"de-apparel";1981151031;"/Kategorien/Jungen/Streetwear/Sets";1730782031;2308803031;3841282031;2949317031
"de-apparel";1981152031;"/Kategorien/Jungen/Streetwear/Shirts & Hemden";1730783031;464953031;3841281031;2949318031
"de-apparel";1981153031;"/Kategorien/Jungen/Streetwear/Shorts";1730784031;464957031;3841291031;2949319031
"de-apparel";1981154031;"/Kategorien/Jungen/Streetwear/Strumpfhosen & Leggings";1730785031;464956031;3841279031;2949320031
"de-apparel";1981155031;"/Kategorien/Jungen/Streetwear/Trainingsanzüge";1730786031;464952031;3841293031;2949321031
"de-apparel";1981156031;"/Kategorien/Jungen/Streetwear/Hosen";1730787031;464955031;3841292031;2949322031
"de-apparel";1981158031;"/Kategorien/Jungen/Streetwear/Sportsocken";1730789031;464960031;3841280031;2949326031
"de-apparel";1981159031;"/Kategorien/Jungen/Streetwear/Jacken";1730790031;464951031;3841285031;2949327031
"de-apparel";1981160031;"/Kategorien/Jungen/Kapuzenpullover";1730791031;464949031;3841284031;2949328031
"de-apparel";1981161031;"/Kategorien/Jungen/Jeanshosen";1730792031;464962031;2892893031;3074113031
"de-apparel";1981162031;"/Kategorien/Jungen/Pullover & Strickjacken";1730793031;464947031;2892894031;3074105031
"de-apparel";1981164031;"/Kategorien/Jungen/Jacken, Mäntel & Westen/Mäntel";1730795031;464968031;2893045031;3074420031
"de-apparel";1981165031;"/Kategorien/Jungen/Jacken, Mäntel & Westen/Westen";1730796031;464970031;2893047031;3074421031
"de-apparel";1981166031;"/Kategorien/Jungen/Jacken, Mäntel & Westen/Jacken";1730797031;464966031;2893046031;3074422031
"de-apparel";1981168031;"/Kategorien/Jungen/Overalls";1730799031;464963031;2892900031;3074100031
"de-apparel";1981169031;"/Kategorien/Jungen/Hemden";1730800031;464946031;2892887031;3074096031
"de-apparel";1981170031;"/Kategorien/Jungen/Shorts";1730801031;464965031;2892897031;3074102031
"de-apparel";1981172031;"/Kategorien/Jungen/Schlafanzüge & Bademäntel/Schlafanzughosen";1730803031;464978031;2893061031;3074418031
"de-apparel";1981173031;"/Kategorien/Jungen/Schlafanzüge & Bademäntel/Schlafanzüge";1730804031;464979031;2893062031;3074419031
"de-apparel";1981174031;"/Kategorien/Jungen/Schlafanzüge & Bademäntel/Schlafanzugoberteile";1730805031;464977031;2893060031;3074416031
"de-apparel";1981175031;"/Kategorien/Jungen/Schlafanzüge & Bademäntel/Morgenmäntel";1730806031;464981031;2893064031;3074415031
"de-apparel";1981176031;"/Kategorien/Jungen/Schlafanzüge & Bademäntel/Strampelanzüge";1730807031;464980031;2893063031;3074417031
"de-apparel";1981178031;"/Kategorien/Jungen/Schnee- & Regenbekleidung/Regenhosen";1730809031;464973031;2893057031;3074436031
"de-apparel";1981179031;"/Kategorien/Jungen/Schnee- & Regenbekleidung/Regenjacken";1730810031;464972031;2893055031;3074435031
"de-apparel";1981180031;"/Kategorien/Jungen/Schnee- & Regenbekleidung/Schneehosen";1730811031;464975031;2893056031;3074437031
"de-apparel";1981181031;"/Kategorien/Jungen/Schnee- & Regenbekleidung/Schneeanzüge";1730812031;464974031;2893058031;3074438031
"de-apparel";1981183031;"/Kategorien/Jungen/Socken & Strümpfe/Socken";1730814031;2308791031;2893042031;3074411031
"de-apparel";1981184031;"/Kategorien/Jungen/Socken & Strümpfe/Füßlinge & Sneakersocken";1730815031;2308792031;2893044031;3074410031
"de-apparel";1981185031;"/Kategorien/Jungen/Socken & Strümpfe/Kniestrümpfe";1730816031;464983031;2893043031;3074409031
"de-apparel";1981187031;"/Kategorien/Jungen/Anzüge & Sakkos/Sakkos";1730818031;464939031;2893026031;3074444031
"de-apparel";1981188031;"/Kategorien/Jungen/Anzüge & Sakkos/Anzugjacken";1730819031;2308793031;2893027031;3074445031
"de-apparel";1981189031;"/Kategorien/Jungen/Anzüge & Sakkos/Anzughosen";1730820031;2308794031;2893028031;3074447031
"de-apparel";1981190031;"/Kategorien/Jungen/Anzüge & Sakkos/Anzüge";1730821031;464938031;2893025031;3074448031
"de-apparel";1981191031;"/Kategorien/Jungen/Anzüge & Sakkos/Smokings";1730822031;464940031;2893029031;3074446031
"de-apparel";1981192031;"/Kategorien/Jungen/Sweatshirts";1730823031;464950031;3841283031;2949329031
"de-apparel";1981194031;"/Kategorien/Jungen/Bademode/Badehosen";1730825031;2308795031;3950199031;2949331031
"de-apparel";1981195031;"/Kategorien/Jungen/Bademode/Badeshorts";1730826031;464987031;3950198031;2949332031
"de-apparel";1981197031;"/Kategorien/Jungen/Tops & Shirts/Langarmshirts";1730828031;2308802031;2893066031;3074405031
"de-apparel";1981198031;"/Kategorien/Jungen/Tops & Shirts/Poloshirts";1730829031;464945031;2893067031;3074408031
"de-apparel";1981199031;"/Kategorien/Jungen/Tops & Shirts/T-Shirts";1730830031;464943031;2893068031;3074406031
"de-apparel";1981200031;"/Kategorien/Jungen/Tops & Shirts/Tops";1730831031;464944031;2893065031;3074407031
"de-apparel";1981201031;"/Kategorien/Jungen/Hosen";1730832031;464964031;2892898031;3074103031
"de-apparel";1981203031;"/Kategorien/Jungen/Unterwäsche/Boxershorts";1730834031;2308796031;2893049031;3074439031
"de-apparel";1981204031;"/Kategorien/Jungen/Unterwäsche/Slips";1730835031;2308797031;2893052031;3074440031
"de-apparel";1981206031;"/Kategorien/Jungen/Unterwäsche/Thermounterwäsche/Unterhosen";1730837031;2308799031;2893352031;3074725031
"de-apparel";1981207031;"/Kategorien/Jungen/Unterwäsche/Thermounterwäsche/Sets";1730838031;2308800031;2893351031;3074724031
"de-apparel";1981208031;"/Kategorien/Jungen/Unterwäsche/Thermounterwäsche/Oberteile";1730839031;2308801031;2893353031;3074723031
"de-apparel";1981209031;"/Kategorien/Jungen/Unterwäsche/Unterhemden";1730840031;464985031;2893050031;3074441031
"de-apparel";1981212031;"/Kategorien/Mädchen/Accessoires/Armwärmer & Muffs";1730843031;2308741031;2892977031;3074336031
"de-apparel";1981213031;"/Kategorien/Mädchen/Accessoires/Sturmhauben";1730844031;2308742031;2892976031;3074343031
"de-apparel";1981214031;"/Kategorien/Mädchen/Accessoires/Hosenträger";1730845031;2308743031;2892967031;3074345031
"de-apparel";1981215031;"/Kategorien/Mädchen/Accessoires/Mütze, Schal & Handschuh-Sets";1730846031;2308744031;2892969031;3074337031
"de-apparel";1981216031;"/Kategorien/Mädchen/Accessoires/Ohrenschützer";1730847031;2308745031;2892975031;3074342031
"de-apparel";1981218031;"/Kategorien/Mädchen/Accessoires/Brillen & Zubehör/Brillenetuis";1730849031;2308747031;2893337031;3074701031
"de-apparel";1981219031;"/Kategorien/Mädchen/Accessoires/Brillen & Zubehör/Brillenbänder & -ketten";1730850031;2308748031;2893338031;3074700031
"de-apparel";1981220031;"/Kategorien/Mädchen/Accessoires/Brillen & Zubehör/Brillenfassungen";1730851031;2308749031;2893339031;3074703031
"de-apparel";1981221031;"/Kategorien/Mädchen/Accessoires/Brillen & Zubehör/Sonnenbrillen";1730852031;2308750031;2893340031;3074702031
"de-apparel";1981222031;"/Kategorien/Mädchen/Accessoires/Handschuhe & Fäustlinge";1730853031;2308751031;2892973031;3074341031
"de-apparel";1981223031;"/Kategorien/Mädchen/Accessoires/Hüte & Mützen";1730854031;2308752031;2892968031;3074340031
"de-apparel";1981224031;"/Kategorien/Mädchen/Accessoires/Stirnbänder";1730855031;2308753031;2892971031;3074338031
"de-apparel";1981225031;"/Kategorien/Mädchen/Accessoires/Nierenwärmer";1730856031;2308754031;2892970031;3074335031
"de-apparel";1981226031;"/Kategorien/Mädchen/Accessoires/Halstücher";1730857031;2308755031;2892972031;3074344031
"de-apparel";1981227031;"/Kategorien/Mädchen/Accessoires/Schals";1730858031;2308756031;2892978031;3074334031
"de-apparel";1981231031;"/Kategorien/Mädchen/Streetwear/Westen";1730862031;464899031;3841266031;2949337031
"de-apparel";1981233031;"/Kategorien/Mädchen/Streetwear/Sportunterwäsche/Sportunterhosen";1730864031;2308767031;3841269031;2949347031
"de-apparel";1981234031;"/Kategorien/Mädchen/Streetwear/Sportunterwäsche/Sport-BHs";1730865031;2308768031;3841270031;2949349031
